year,flat_type,resale_price
2012-03,5 ROOM,785000
2012-03,5 ROOM,788000
2012-03,5 ROOM,788000
2012-03,5 ROOM,795000
2012-03,5 ROOM,803000
2012-03,5 ROOM,823000
2012-03,5 ROOM,825000
2012-03,5 ROOM,827500
2012-03,5 ROOM,828000
2012-03,5 ROOM,828000
2012-03,5 ROOM,829000
2012-03,3 ROOM,320000
2012-03,3 ROOM,340000
2012-03,3 ROOM,346000
2012-03,3 ROOM,350000
2012-03,4 ROOM,378000
2012-03,4 ROOM,380000
2012-03,4 ROOM,385000
2012-03,4 ROOM,390000
2012-03,4 ROOM,390000
2012-03,4 ROOM,392000
2012-03,4 ROOM,393000
2012-03,4 ROOM,393888
2012-03,4 ROOM,395000
2012-03,4 ROOM,401000
2012-03,4 ROOM,406000
2012-03,4 ROOM,408000
2012-03,4 ROOM,411000
2012-03,4 ROOM,415000
2012-03,4 ROOM,415000
2012-03,4 ROOM,415000
2012-03,4 ROOM,415000
2012-03,4 ROOM,424000
2012-03,4 ROOM,425000
2012-03,4 ROOM,430000
2012-03,4 ROOM,432000
2012-03,4 ROOM,440000
2012-03,5 ROOM,445000
2012-03,5 ROOM,446888
2012-03,5 ROOM,454000
2012-03,4 ROOM,460000
2012-03,5 ROOM,468688
2012-03,5 ROOM,473000
2012-03,5 ROOM,485000
2012-03,5 ROOM,488000
2012-03,5 ROOM,491000
2012-03,5 ROOM,495000
2012-03,5 ROOM,505000
2012-03,4 ROOM,508000
2012-03,5 ROOM,510000
2012-03,5 ROOM,511000
2012-03,EXECUTIVE,515000
2012-03,4 ROOM,517000
2012-03,EXECUTIVE,520000
2012-03,5 ROOM,522000
2012-03,4 ROOM,525000
2012-03,5 ROOM,540000
2012-03,5 ROOM,540000
2012-03,5 ROOM,548000
2012-03,5 ROOM,553000
2012-03,EXECUTIVE,568000
2012-03,EXECUTIVE,570000
2012-03,5 ROOM,585000
2012-03,EXECUTIVE,585000
2012-03,EXECUTIVE,600888
2012-03,EXECUTIVE,601000
2012-03,5 ROOM,602888
2012-03,EXECUTIVE,630000
2012-03,EXECUTIVE,635000
2012-03,EXECUTIVE,650000
2012-03,4 ROOM,575000
2012-03,4 ROOM,578000
2012-03,4 ROOM,602000
2012-03,EXECUTIVE,745000
2012-03,5 ROOM,750000
2012-03,3 ROOM,380000
2012-03,3 ROOM,388000
2012-03,3 ROOM,400000
2012-03,3 ROOM,460000
2012-03,3 ROOM,488000
2012-03,4 ROOM,495000
2012-03,3 ROOM,503000
2012-03,4 ROOM,523888
2012-03,4 ROOM,533000
2012-03,5 ROOM,575500
2012-03,4 ROOM,680000
2012-03,4 ROOM,728000
2012-03,3 ROOM,305000
2012-03,3 ROOM,322000
2012-03,3 ROOM,322000
2012-03,3 ROOM,328000
2012-03,3 ROOM,330000
2012-03,3 ROOM,332000
2012-03,3 ROOM,333000
2012-03,3 ROOM,335000
2012-03,3 ROOM,343000
2012-03,4 ROOM,351000
2012-03,4 ROOM,370000
2012-03,4 ROOM,370000
2012-03,4 ROOM,380000
2012-03,4 ROOM,382000
2012-03,4 ROOM,384000
2012-03,4 ROOM,385000
2012-03,4 ROOM,385000
2012-03,4 ROOM,388000
2012-03,4 ROOM,390000
2012-03,4 ROOM,393500
2012-03,4 ROOM,395000
2012-03,4 ROOM,398000
2012-03,4 ROOM,398000
2012-03,4 ROOM,398000
2012-03,4 ROOM,398000
2012-03,4 ROOM,400000
2012-03,4 ROOM,400000
2012-03,4 ROOM,400000
2012-03,4 ROOM,400000
2012-03,4 ROOM,402000
2012-03,4 ROOM,403000
2012-03,4 ROOM,403000
2012-03,4 ROOM,403000
2012-03,4 ROOM,405000
2012-03,4 ROOM,405000
2012-03,4 ROOM,405000
2012-03,4 ROOM,405000
2012-03,4 ROOM,405000
2012-03,4 ROOM,405000
2012-03,4 ROOM,407000
2012-03,4 ROOM,408000
2012-03,4 ROOM,408710.88
2012-03,4 ROOM,410000
2012-03,4 ROOM,410000
2012-03,4 ROOM,410000
2012-03,4 ROOM,411000
2012-03,4 ROOM,411000
2012-03,4 ROOM,412000
2012-03,4 ROOM,414000
2012-03,4 ROOM,415000
2012-03,4 ROOM,415000
2012-03,4 ROOM,416000
2012-03,4 ROOM,417000
2012-03,4 ROOM,418000
2012-03,4 ROOM,418000
2012-03,4 ROOM,418000
2012-03,4 ROOM,418088
2012-03,4 ROOM,420000
2012-03,4 ROOM,420000
2012-03,4 ROOM,421000
2012-03,4 ROOM,422000
2012-03,4 ROOM,422000
2012-03,4 ROOM,424000
2012-03,4 ROOM,425000
2012-03,5 ROOM,425000
2012-03,4 ROOM,428000
2012-03,4 ROOM,428000
2012-03,4 ROOM,430000
2012-03,4 ROOM,430000
2012-03,4 ROOM,430000
2012-03,4 ROOM,430000
2012-03,4 ROOM,430000
2012-03,5 ROOM,430000
2012-03,4 ROOM,431000
2012-03,4 ROOM,434000
2012-03,5 ROOM,437000
2012-03,5 ROOM,440000
2012-03,5 ROOM,440000
2012-03,5 ROOM,440000
2012-03,5 ROOM,447000
2012-03,5 ROOM,450000
2012-03,5 ROOM,450000
2012-03,4 ROOM,455000
2012-03,5 ROOM,455500
2012-03,4 ROOM,456000
2012-03,5 ROOM,458000
2012-03,5 ROOM,459000
2012-03,4 ROOM,460000
2012-03,4 ROOM,468000
2012-03,5 ROOM,470000
2012-03,4 ROOM,470000
2012-03,5 ROOM,477000
2012-03,5 ROOM,480000
